,tissue,ACTA2,ACTG2,ACTR3B,ADGRL4,AGR2,AHR,AIF1,AKT1,ALB,ALDH1A3,ANLN,AP1M2,APOC1,APOE,AR,AURKA,AZGP1,B2M,BAG1,BANK1,BCL2,BGN,BICC1,BIRC5,BLVRA,BRAF,C10orf54,C1QA,C1QB,CALCRL,CAPN13,CCL2,CCL3,CCL4,CCL5,CCNB1,CCND1,CCNE1,CCNE2,CD14,CD163,CD19,CD2,CD24,CD274,CD34,CD36,CD38,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD44,CD5,CD63,CD68,CD69,CD7,CD74,CD79A,CD79B,CD8A,CD9,CD96,CDC20,CDC6,CDH1,CDH11,CDH3,CDK4,CDK6,CDK7,CDKN2A,CEACAM1,CENPF,CEP55,CLDN4,CLU,COBL,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL4A5,CR2,CRABP2,CSRP2,CST3,CSTB,CTCF,CTLA4,CTSL,CXCR5,CXXC5,DCN,DERL3,EFNA5,EGFR,EIF3E,ELF5,EPCAM,ERBB2,ERBB3,ERBB4,ESR1,FABP7,FAP,FASN,FAT1,FCGR3A,FCN1,FCRL5,FGFR1,FGFR2,FGFR4,FN1,FOS,FOXA1,FOXC1,FOXP3,FTL,FXYD3,GATA3,GNG11,GNLY,GPNMB,GPR160,GRB7,GSN,GZMB,HIF1A,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HSPB1,HSPG2,ICAM1,ICOS,IFITM3,IGF1R,IGFBP5,IGHG1,IGHG4,IGHM,IGKC,IL2RA,IL32,IL3RA,IL7R,ISG15,ISG20,ITGA6,ITGAX,JUN,JUNB,KIF23,KIT,KRAS,KRT10,KRT14,KRT15,KRT17,KRT18,KRT19,KRT5,KRT7,KRT8,LAG3,LAMA1,LAMC1,LDB2,LGALS1,LGALS2,LGMN,LILRB1,LIPE,LRP2,LST1,LTF,LUM,LYPD6B,LYZ,MAPK13,MAPK3,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MMP12,MMP9,MS4A1,MSR1,MT2A,MUC1,MYB,MYBL2,MYC,MYL6,MYL9,MYLK,MYO10,MYO5B,MZB1,NAT1,NCAM1,NDC80,NDRG2,NF1,NFKBIA,NKG7,NOTCH1,NR3C1,NUF2,OBP2B,ORC6,PABPC1,PBK,PDCD1,PDPN,PDZK1IP1,PECAM1,PGR,PHGDH,PI3,PIK3CA,PLEK,PLVAP,POU2AF1,PRLR,PTEN,PTPRB,PTPRC,PTTG1,RAMP2,RB1,RPL13,RPL18,RPSA,RRM2,S100A14,S100A4,S100A8,S100A9,SDC1,SFRP1,SIAH2,SKAP1,SLC2A1,SLC39A6,SLPI,SNAI2,SOX10,SOX18,SOX4,SPDEF,SPP1,STAT5A,STMN1,SULF1,TAGLN,TBX21,TCF4,TCL1A,TFEC,TFF1,TFF2,TFF3,TFRC,THEMIS,THY1,TIMP1,TMEM45B,TMSB10,TMSB4X,TP53,TPM2,TRAC,TRDC,TSPAN1,TTC6,TTYH1,TYMS,UBE2C,UBE2T,VIM,XBP1,XCL1,ZEB1,ZNF571
880.12.114,880,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
880.120.096,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880.120.103,880,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0
880.122.088,880,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
880.128.085,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
880.13.003,880,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880.13.004,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0
880.13.011,880,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
880.13.013,880,0,0,1,0,3,0,0,1,2,3,9,0,0,2,2,0,0,0,0,0,1,1,0,3,1,1,5,6,0,0,0,0,1,5,0,6,0,7,3,2,0,9,0,4,0,1,7,1,0,1,1,0,0,1,0,6,0,0,0,0,0,2,4,0,0,3,1,1,6,1,7,0,9,0,1,0,8,0,5,1,0,2,0,3,0,1,7,1,0,0,0,0,1,0,0,0,0,1,0,11,0,0,3,0,0,7,0,0,30,5,0,1,5,0,13,1,2,0,0,33,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,3,9,0,1,1,0,10,0,0,3,1,1,0,1,0,1,2,2,0,5,0,0,0,4,0,0,1,3,1,1,3,0,2,0,2,0,4,0,0,11,0,5,1,0,4,0,0,0,0,8,0,4,1,0,1,0,5,1,1,0,1,2,0,8,6,1,3,0,3,1,0,0,0,0,0,5,2,1,0,0,0,1,1,1,0,2,0,0,1,1,6,0,0,2,0,4,6,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,2,1,0,0,0,4,1,1,3,0,0,0,1,1,4,4,0,0,0,0,3,1,0,6,5,0,4,0,6,0,5,0,2,1,6,0,0,0,0,0,0,0,0,0,2,3,2,3,4,1
880.13.014,880,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,12,0,1,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,1,0,2,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,3,1,0,1,0,0,1,0,1,0,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,3,0,0,0,0,2,1,0,2,0,2,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2,0,2,0,0,2,0,2,1,1,1,0,0,0,1,0,1,0,0,2,0,0,1,1,1
880.13.015,880,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
880.13.028,880,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,1,1,2,0,0,0,0,0,1,1,4,0,0,0,0,2,1,2,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
880.13.049,880,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,4,0,4,0,0,1,15,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,3,0,0,1,1,0,0,13,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,1,5,2,0,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
880.13.067,880,0,1,0,0,0,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,3,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
880.13.078,880,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,1,1,2,2,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,2,0,0,1,1,0,3,0,1,0,0,0,1,0,1,0,0,5,1,0,1,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,0,2,0,1,0,0,2,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
880.13.081,880,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,1,0,0,1,0,0,1,0,1,0,0,4,0,4,0,1,0,2,0,6,0,0,1,3,1,0,0,0,4,0,0,0,0,27,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,3,0,2,0,0,1,0,1,0,3,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,3,0,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0
880.13.085,880,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
880.13.086,880,0,0,0,0,6,1,4,1,0,0,2,2,0,0,0,0,1,2,0,0,29,1,0,2,1,4,5,1,0,1,0,0,0,1,0,6,1,6,1,2,0,0,4,21,0,0,6,2,4,2,0,0,0,1,1,4,1,0,0,0,0,0,5,0,0,1,1,1,4,3,19,0,1,0,1,0,8,0,2,4,0,2,0,1,17,0,2,0,1,0,0,2,2,0,3,1,1,0,1,11,0,2,0,0,1,3,0,0,7,8,2,2,2,1,3,1,3,0,0,22,1,1,0,0,0,3,0,0,1,0,0,2,1,0,0,2,10,0,1,2,2,3,0,0,2,0,1,0,6,0,0,0,1,1,1,0,0,1,1,1,0,2,1,1,7,1,0,4,0,1,0,3,0,0,1,0,7,2,0,4,0,3,6,0,7,3,3,0,1,25,0,1,0,0,0,0,2,0,6,3,0,2,9,4,5,1,0,0,3,0,6,2,2,0,0,0,2,1,0,0,1,0,0,0,2,8,0,0,2,0,1,1,9,0,0,1,12,1,1,0,2,7,2,2,0,1,0,0,0,6,0,2,9,0,1,0,1,4,0,0,1,5,8,1,3,0,0,0,1,1,1,1,4,1,0,1,2,0,1,2,0,3,2,13,2,1,0,1,2,2,0,0,0,5,1,1,1,7,2
880.13.087,880,0,0,0,0,0,0,1,1,0,0,1,0,0,0,8,0,0,0,0,0,5,0,0,0,1,0,1,1,0,1,0,0,0,1,0,2,0,1,1,0,0,2,0,7,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,4,0,3,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,4,0,0,1,1,2,0,4,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,5,2,0,1,0,0,0,3,0,0,0,0,5,0,1,1,0,0
880.13.088,880,0,2,0,0,0,2,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,4,1,0,0,1,1,1,0,0,0,13,0,0,1,0,0,9,0,0,0,0,0,3,0,0,2,0,1,1,0,0,0,0,2,0,1,0,2,1,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4,0,0,0,0,1,0,12,0,0,0,4,0,0,2,0,0,1,1,0,0,0,0,2,2,1,0,0,1,0,0,0,0,1,1,6,1,0,0,0,3,0,0,4,1,2,0,0,0,0,0,0,0,2,1,1,0,12,0,0,0,0,0,6,0,0,0,0,4,1,8,0,0,0,0,0,0,2,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,7,0,13,3,0,1,1,0,1,0,1,0,0,0,5,0,0,1,0,0
